title,storyline,description,directors,writers,cast,tagline,genres
The Neon Bible,"While on a train, a teenage boy thinks about his life and the flamboyant aunt whose friendship acted as an emotional shield from his troubled family. This film evokes the haunting quality of memory while creating a heartfelt portr...","While on a train, a teenage boy thinks about his life and the flamboyant aunt whose friendship acted as an emotional shield from his troubled family. This film evokes the haunting quality of memory while creating a heartfelt portr...",Terence Davies,"Terence Davies, John Kennedy Toole","['Jacob Tierney (Unknown Role)', 'Drake Bell (Unknown Role)', 'Gena Rowlands (Unknown Role)', 'Diana Scarwid (Unknown Role)', 'Denis Leary (Unknown Role)']",Tagline not available,Drama
Prime Target,A post-graduate mathematics student discovers an effort being made to destroy his work in finding a pattern in prime numbers that would allow him to access every computer in the world.,A post-graduate mathematics student discovers an effort being made to destroy his work in finding a pattern in prime numbers that would allow him to access every computer in the world.,Director not available,Steve Thompson,"['Leo Woodall (Unknown Role)', 'Quintessa Swindell (Unknown Role)', 'Sidse Babett Knudsen (Unknown Role)', 'Martha Plimpton (Unknown Role)', 'Stephen Rea (Unknown Role)']",Tagline not available,Action|Drama
Up Close &amp; Personal,"An ambitious young woman, determined to build a career in television journalism, gets good advice from her first boss, and they fall in love.","An ambitious young woman, determined to build a career in television journalism, gets good advice from her first boss, and they fall in love.",Jon Avnet,"Joan Didion, John Gregory Dunne, Alanna Nash","['Robert Redford (Unknown Role)', 'Michelle Pfeiffer (Unknown Role)', 'Stockard Channing (Unknown Role)', 'Joe Mantegna (Unknown Role)', 'Kate Nelligan (Unknown Role)']",Tagline not available,Drama|Romance
The Birdcage,"A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing, conservative parents.","A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing, conservative parents.",Mike Nichols,"Jean Poiret, Francis Veber, Édouard Molinaro","['Robin Williams (Unknown Role)', 'Nathan Lane (Unknown Role)', 'Gene Hackman (Unknown Role)', 'Dianne Wiest (Unknown Role)', 'Dan Futterman (Unknown Role)']",Tagline not available,Comedy
Evening Shadows,"Set in South India and Mumbai, 'Evening Shadows' is a tender heartwarming story about a mother-son bond that has to withstand the ravages of time, distance and truths.","Set in South India and Mumbai, 'Evening Shadows' is a tender heartwarming story about a mother-son bond that has to withstand the ravages of time, distance and truths.",Sridhar Rangayan,"Saagar Gupta, Sridhar Rangayan","['Mona Ambegaonkar (Unknown Role)', 'Ananth Mahadevan (Unknown Role)', 'Devansh Doshi (Unknown Role)', 'Arpit Chaudhary (Unknown Role)', 'Yamini Singh (Unknown Role)']",Tagline not available,Drama
The Brothers McMullen,"Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity.","Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity.",Edward Burns,Edward Burns,"['Jack Mulcahy (Unknown Role)', 'Michael McGlone (Unknown Role)', 'Edward Burns (Unknown Role)', 'Shari Albert (Unknown Role)', 'Maxine Bahns (Unknown Role)']",Tagline not available,Comedy
The Amazing Panda Adventure,A young American boy visiting China helps his zoologist father rescue a panda cub from unscrupulous poachers while its reserve is threatened with closure from officious bureaucrats.,A young American boy visiting China helps his zoologist father rescue a panda cub from unscrupulous poachers while its reserve is threatened with closure from officious bureaucrats.,Christopher Cain,"John Wilcox, Steven Alldredge, Jeff Rothberg","['Stephen Lang (Unknown Role)', 'Ryan Slater (Unknown Role)', 'Yi Ding (Unknown Role)', 'Wang Fei (Unknown Role)', 'Zhou Jian Zhong (Unknown Role)']",Tagline not available,Adventure|Children's
The Basketball Diaries,A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.,A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.,Scott Kalvert,"Jim Carroll, Bryan Goluboff","['Leonardo DiCaprio (Unknown Role)', 'Lorraine Bracco (Unknown Role)', 'Marilyn Sokol (Unknown Role)', 'James Madio (Unknown Role)', 'Patrick McGaw (Unknown Role)']",Tagline not available,Drama
An Awfully Big Adventure,"Set right after World War II, a naive teenage girl joins a shabby theatre troupe in Liverpool. During a winter production of Peter Pan, the play quickly turns into a dark metaphor for youth as she becomes drawn into a web of sexua...","Set right after World War II, a naive teenage girl joins a shabby theatre troupe in Liverpool. During a winter production of Peter Pan, the play quickly turns into a dark metaphor for youth as she becomes drawn into a web of sexua...",Mike Newell,"Beryl Bainbridge, Charles Wood","['Hugh Grant (Unknown Role)', 'Alan Rickman (Unknown Role)', 'Georgina Cates (Unknown Role)', 'Alun Armstrong (Unknown Role)', 'Peter Firth (Unknown Role)']",Tagline not available,Drama
The Amateur,"When his supervisors at the CIA refuse to take action after his wife is killed in a London terrorist attack, a decoder takes matters into his own hands.","When his supervisors at the CIA refuse to take action after his wife is killed in a London terrorist attack, a decoder takes matters into his own hands.",James Hawes,"Ken Nolan, Gary Spinelli, Robert Littell","['Rami Malek (Unknown Role)', 'Rachel Brosnahan (Unknown Role)', 'Jon Bernthal (Unknown Role)', 'Evan Milton (Unknown Role)', 'Nick Mills (Unknown Role)']",Tagline not available,Crime|Drama|Thriller
The Addiction,"A New York philosophy grad student turns into a vampire after getting bitten by one, and then tries to come to terms with her new lifestyle and frequent craving for human blood.","A New York philosophy grad student turns into a vampire after getting bitten by one, and then tries to come to terms with her new lifestyle and frequent craving for human blood.",Abel Ferrara,Nicholas St. John,"['Lili Taylor (Unknown Role)', 'Christopher Walken (Unknown Role)', 'Annabella Sciorra (Unknown Role)', 'Edie Falco (Unknown Role)', 'Paul Calderon (Unknown Role)']",Tagline not available,Horror
Die Hard with a Vengeance,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.","John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",John McTiernan,"Jonathan Hensleigh, Roderick Thorp","['Bruce Willis (Unknown Role)', 'Jeremy Irons (Unknown Role)', 'Samuel L. Jackson (Unknown Role)', 'Graham Greene (Unknown Role)', 'Colleen Camp (Unknown Role)']",Tagline not available,Action|Thriller
The Doom Generation,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex-and-violence-filled journey through an America of psychos and quickie marts.","Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex-and-violence-filled journey through an America of psychos and quickie marts.",Gregg Araki,Gregg Araki,"['James Duval (Unknown Role)', 'Rose McGowan (Unknown Role)', 'Johnathon Schaech (Unknown Role)', 'Cress Williams (Unknown Role)', 'Skinny Puppy (Unknown Role)']",Tagline not available,Comedy|Drama
Love and Human Remains,"In Edmonton, Canada, a failed actor lives with a bookish woman, whom he dated before coming out as a homosexual. While they and their friends each aim to find love and sexual gratification, a serial killer stalks the city's women.","In Edmonton, Canada, a failed actor lives with a bookish woman, whom he dated before coming out as a homosexual. While they and their friends each aim to find love and sexual gratification, a serial killer stalks the city's women.",Denys Arcand,Brad Fraser,"['Thomas Gibson (Unknown Role)', 'Ruth Marshall (Unknown Role)', 'Cameron Bancroft (Unknown Role)', 'Mia Kirshner (Unknown Role)', 'Joanne Vannicola (Unknown Role)']",Tagline not available,Comedy
The Net,"When Angela Bennett, a computer programmer, stumbles upon government secrets, she finds herself on the run from an unknown enemy hell-bent on destroying her completely.","When Angela Bennett, a computer programmer, stumbles upon government secrets, she finds herself on the run from an unknown enemy hell-bent on destroying her completely.",Irwin Winkler,"John Brancato, Michael Ferris","['Sandra Bullock (Unknown Role)', 'Jeremy Northam (Unknown Role)', 'Dennis Miller (Unknown Role)', 'Diane Baker (Unknown Role)', 'Wendy Gazelle (Unknown Role)']",Tagline not available,Sci-Fi|Thriller
The Prophecy,"At the scene of a bizarre murder, L.A. homicide detective Thomas Dagget discovers a lethal heavenly prophecy now being fulfilled on earth. In his fight to stop the forces of evil, he finds an unlikely ally in an elementary school ...","At the scene of a bizarre murder, L.A. homicide detective Thomas Dagget discovers a lethal heavenly prophecy now being fulfilled on earth. In his fight to stop the forces of evil, he finds an unlikely ally in an elementary school ...",Gregory Widen,Gregory Widen,"['Christopher Walken (Unknown Role)', 'Elias Koteas (Unknown Role)', 'Virginia Madsen (Unknown Role)', 'Eric Stoltz (Unknown Role)', 'Viggo Mortensen (Unknown Role)']",Tagline not available,Horror
Zipper,A successful family man with a blossoming political career loses all sense of morality when he becomes addicted to using an escort agency.,A successful family man with a blossoming political career loses all sense of morality when he becomes addicted to using an escort agency.,Mora Stephens,"Mora Stephens, Joel Viertel","['Patrick Wilson (Unknown Role)', 'Lena Headey (Unknown Role)', 'Ray Winstone (Unknown Role)', 'Richard Dreyfuss (Unknown Role)', 'John Cho (Unknown Role)']",Tagline not available,Comedy
The Scarlet Letter,An affair between a young woman and a pastor has disastrous consequences.,An affair between a young woman and a pastor has disastrous consequences.,Roland Joffé,"Nathaniel Hawthorne, Douglas Day Stewart","['Demi Moore (Unknown Role)', 'Gary Oldman (Unknown Role)', 'Robert Duvall (Unknown Role)', 'Lisa Andoh (Unknown Role)', 'Edward Hardwicke (Unknown Role)']",Tagline not available,Drama
The Truman Show,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,Peter Weir,Andrew Niccol,"['Jim Carrey (Unknown Role)', 'Ed Harris (Unknown Role)', 'Laura Linney (Unknown Role)', 'Noah Emmerich (Unknown Role)', 'Natascha McElhone (Unknown Role)']",Tagline not available,Documentary
The Stars Fell on Henrietta,A story of desperate search for oil.,A story of desperate search for oil.,James Keach,Philip Railsback,"['Robert Duvall (Unknown Role)', 'Aidan Quinn (Unknown Role)', 'Frances Fisher (Unknown Role)', 'Brian Dennehy (Unknown Role)', 'Lexi Randall (Unknown Role)']",Tagline not available,Drama
Les parapluies de Cherbourg,A young woman separated from her lover by war faces a life-altering decision.,A young woman separated from her lover by war faces a life-altering decision.,Jacques Demy,Jacques Demy,"['Catherine Deneuve (Unknown Role)', 'Nino Castelnuovo (Unknown Role)', 'Anne Vernon (Unknown Role)', 'Marc Michel (Unknown Role)', 'Ellen Farner (Unknown Role)']",Tagline not available,Drama|Musical
The Tie That Binds,"A couple who is childless adopts a tittle girl, they think that their lives are happy and full of joy. But then the little girl's birth parents who are a pair of robbers, come after her to reclaim their daughter.","A couple who is childless adopts a tittle girl, they think that their lives are happy and full of joy. But then the little girl's birth parents who are a pair of robbers, come after her to reclaim their daughter.",Wesley Strick,Michael Auerbach,"['Daryl Hannah (Unknown Role)', 'Keith Carradine (Unknown Role)', 'Moira Kelly (Unknown Role)', 'Vincent Spano (Unknown Role)', 'Julia Devin (Unknown Role)']",Tagline not available,Thriller
"To Wong Foo Thanks for Everything, Julie Newmar","Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.","Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.",Beeban Kidron,Douglas Carter Beane,"['Wesley Snipes (Unknown Role)', 'Patrick Swayze (Unknown Role)', 'John Leguizamo (Unknown Role)', 'Stockard Channing (Unknown Role)', 'Blythe Danner (Unknown Role)']",Tagline not available,Comedy
A Walk in the Clouds,"Paul Sutton, a young married soldier, befriends a pregnant lady who is petrified her father will disown her, and agrees to pose as her boyfriend. As time passes, they start growing fond of each other.","Paul Sutton, a young married soldier, befriends a pregnant lady who is petrified her father will disown her, and agrees to pose as her boyfriend. As time passes, they start growing fond of each other.",Alfonso Arau,"Robert Mark Kamen, Mark Miller, Harvey Weitzman","['Keanu Reeves (Unknown Role)', 'Aitana Sánchez-Gijón (Unknown Role)', 'Anthony Quinn (Unknown Role)', 'Giancarlo Giannini (Unknown Role)', 'Angélica Aragón (Unknown Role)']",Tagline not available,Drama|Romance
